End_Date,Count,Change
2021-10-01,297,0
2021-10-02,297,0
2021-10-03,297,0
2021-10-04,299,2
2021-10-05,299,0
2021-10-06,306,7
2021-10-07,307,1
2021-10-08,307,0
2021-10-09,307,0
2021-10-10,307,0
2021-10-11,307,0
2021-10-12,307,0
2021-10-13,307,0
2021-10-14,309,2
2021-10-15,309,0
2021-10-16,309,0
2021-10-17,309,0
2021-10-18,309,0
2021-10-19,309,0
2021-10-20,309,0
2021-10-21,309,0
2021-10-22,309,0
2021-10-23,309,0
2021-10-24,309,0
2021-10-25,309,0
2021-10-26,309,0
2021-10-27,309,0
2021-10-28,309,0
2021-10-29,309,0
2021-10-30,309,0
2021-10-31,309,0
2021-11-01,312,3
2021-11-02,312,0
2021-11-03,312,0
2021-11-04,312,0
2021-11-05,312,0
2021-11-06,312,0
2021-11-07,312,0
2021-11-08,312,0
2021-11-09,312,0
2021-11-10,312,0
2021-11-11,312,0
2021-11-12,312,0
2021-11-13,312,0
2021-11-14,312,0
2021-11-15,312,0
2021-11-16,312,0
2021-11-17,312,0
2021-11-18,313,1
2021-11-19,313,0
2021-11-20,313,0
2021-11-21,313,0
2021-11-22,314,1
2021-11-23,314,0
2021-11-24,314,0
2021-11-25,314,0
2021-11-26,314,0
2021-11-27,314,0
2021-11-28,314,0
2021-11-29,314,0
2021-11-30,314,0
2021-12-01,314,0
2021-12-02,314,0
2021-12-03,317,3
2021-12-04,317,0
2021-12-05,317,0
2021-12-06,318,1
2021-12-07,323,5
2021-12-08,323,0
2021-12-09,327,4
2021-12-10,327,0
2021-12-11,327,0
2021-12-12,327,0
2021-12-13,327,0
2021-12-14,327,0
2021-12-15,327,0
2021-12-16,328,1
2021-12-17,328,0
2021-12-18,328,0
2021-12-19,328,0
2021-12-20,328,0
2021-12-21,329,1
2021-12-22,329,0
2021-12-23,329,0
2021-12-24,329,0
2021-12-25,329,0
2021-12-26,329,0
2021-12-27,329,0
2021-12-28,330,1
2021-12-29,330,0
2021-12-30,330,0
2021-12-31,330,0
2022-01-01,330,0
2022-01-02,330,0
2022-01-03,330,0
2022-01-04,334,4
2022-01-05,335,1
2022-01-06,335,0
2022-01-07,335,0
2022-01-08,335,0
2022-01-09,335,0
2022-01-10,338,3
2022-01-11,338,0
2022-01-12,338,0
2022-01-13,341,3
2022-01-14,341,0
2022-01-15,341,0
2022-01-16,341,0
2022-01-17,341,0
2022-01-18,341,0
2022-01-19,343,2
2022-01-20,344,1
2022-01-21,344,0
2022-01-22,344,0
2022-01-23,344,0
2022-01-24,344,0
2022-01-25,345,1
2022-01-26,346,1
2022-01-27,351,5
2022-01-28,352,1
2022-01-29,352,0
2022-01-30,352,0
2022-01-31,352,0
2022-02-01,353,1
2022-02-02,353,0
2022-02-03,353,0
2022-02-04,353,0
2022-02-05,353,0
2022-02-06,353,0
2022-02-07,353,0
2022-02-08,354,1
2022-02-09,355,1
2022-02-10,355,0
2022-02-11,355,0
2022-02-12,355,0
2022-02-13,355,0
2022-02-14,356,1
2022-02-15,361,5
2022-02-16,365,4
2022-02-17,368,3
2022-02-18,368,0
2022-02-19,368,0
2022-02-20,368,0
2022-02-21,368,0
2022-02-22,372,4
2022-02-23,377,5
2022-02-24,378,1
2022-02-25,378,0
2022-02-26,378,0
2022-02-27,378,0
2022-02-28,378,0
2022-03-01,380,2
2022-03-02,380,0
2022-03-03,380,0
2022-03-04,380,0
2022-03-05,380,0
2022-03-06,380,0
2022-03-07,380,0
2022-03-08,380,0
2022-03-09,380,0
2022-03-10,381,1
2022-03-11,381,0
2022-03-12,381,0
