End_Date,Count,Change
2020-10-31,27,0
2020-11-30,28,1
2020-12-31,28,0
2021-01-31,28,0
2021-02-28,31,3
2021-03-31,36,5
2021-04-01,36,0
2021-04-02,36,0
2021-04-03,36,0
2021-04-04,36,0
2021-04-05,36,0
2021-04-06,36,0
2021-04-07,38,2
2021-04-08,54,16
2021-04-09,55,1
2021-04-10,55,0
2021-04-11,55,0
2021-04-12,55,0
2021-04-13,58,3
2021-04-14,58,0
2021-04-15,59,1
2021-04-16,69,10
2021-04-17,69,0
2021-04-18,69,0
2021-04-19,69,0
2021-04-20,77,8
2021-04-21,89,12
2021-04-22,90,1
2021-04-23,105,15
2021-04-24,105,0
2021-04-25,105,0
2021-04-26,108,3
2021-04-27,115,7
2021-04-28,132,17
2021-04-29,149,17
2021-04-30,157,8
2021-05-01,157,0
2021-05-02,157,0
2021-05-03,161,4
2021-05-04,170,9
2021-05-05,186,16
2021-05-06,195,9
2021-05-07,199,4
2021-05-08,199,0
2021-05-09,199,0
2021-05-10,212,13
2021-05-11,223,11
2021-05-12,226,3
2021-05-13,240,14
2021-05-14,246,6
2021-05-15,246,0
2021-05-16,246,0
2021-05-17,250,4
2021-05-18,256,6
2021-05-19,268,12
2021-05-20,268,0
2021-05-21,272,4
2021-05-22,272,0
2021-05-23,272,0
2021-05-24,287,15
2021-05-25,297,10
2021-05-26,307,10
2021-05-27,317,10
2021-05-28,323,6
2021-05-29,323,0
2021-05-30,323,0
2021-05-31,323,0
2021-06-01,328,5
2021-06-02,337,9
2021-06-03,351,14
2021-06-04,351,0
2021-06-05,351,0
2021-06-06,351,0
2021-06-07,361,10
2021-06-08,371,10
2021-06-09,381,10
2021-06-10,386,5
2021-06-11,388,2
2021-06-12,388,0
2021-06-13,388,0
2021-06-14,401,13
2021-06-15,410,9
2021-06-16,427,17
2021-06-17,428,1
2021-06-18,428,0
2021-06-19,428,0
2021-06-20,428,0
2021-06-21,429,1
2021-06-22,448,19
2021-06-23,468,20
2021-06-24,482,14
2021-06-25,500,18
2021-06-26,500,0
2021-06-27,500,0
2021-06-28,511,11
2021-06-29,536,25
2021-06-30,566,30
2021-07-01,573,7
2021-07-02,573,0
2021-07-03,573,0
2021-07-04,573,0
2021-07-05,573,0
2021-07-06,575,2
2021-07-07,580,5
2021-07-08,580,0
2021-07-09,586,6
2021-07-10,586,0
2021-07-11,586,0
2021-07-12,589,3
2021-07-13,591,2
2021-07-14,608,17
2021-07-15,614,6
2021-07-16,616,2
2021-07-17,616,0
2021-07-18,616,0
2021-07-19,617,1
2021-07-20,618,1
2021-07-21,626,8
2021-07-22,626,0
2021-07-23,627,1
2021-07-24,627,0
2021-07-25,627,0
2021-07-26,633,6
2021-07-27,640,7
2021-07-28,641,1
2021-07-29,642,1
2021-07-30,644,2
2021-07-31,644,0
2021-08-01,644,0
2021-08-02,646,2
2021-08-03,649,3
2021-08-04,652,3
2021-08-05,654,2
2021-08-06,655,1
2021-08-07,655,0
2021-08-08,655,0
2021-08-09,664,9
2021-08-10,672,8
2021-08-11,678,6
2021-08-12,679,1
2021-08-13,683,4
2021-08-14,683,0
2021-08-15,683,0
2021-08-16,685,2
2021-08-17,686,1
2021-08-18,689,3
2021-08-19,689,0
2021-08-20,689,0
2021-08-21,690,1
2021-08-22,690,0
2021-08-23,697,7
2021-08-24,702,5
2021-08-25,703,1
2021-08-26,705,2
2021-08-27,705,0
2021-08-28,705,0
2021-08-29,705,0
2021-08-30,708,3
2021-08-31,708,0
2021-09-01,711,3
2021-09-02,717,6
2021-09-03,717,0
2021-09-04,717,0
2021-09-05,717,0
2021-09-06,717,0
2021-09-07,717,0
2021-09-08,718,1
2021-09-09,731,13
2021-09-10,736,5
2021-09-11,737,1
2021-09-12,737,0
2021-09-13,740,3
2021-09-14,745,5
2021-09-15,749,4
2021-09-16,755,6
2021-09-17,755,0
2021-09-18,755,0
2021-09-19,755,0
2021-09-20,756,1
2021-09-21,757,1
2021-09-22,758,1
2021-09-23,759,1
2021-09-24,759,0
2021-09-25,759,0
2021-09-26,759,0
2021-09-27,761,2
2021-09-28,765,4
2021-09-29,765,0
2021-09-30,770,5
2021-10-01,770,0
2021-10-02,770,0
2021-10-03,770,0
2021-10-04,770,0
