CaseNum,Status_Short,Date,Status
2090078829,1-Fingerprint-taken,"April 20, 2021",Fingerprints Taken
2090078832,1-Fingerprint-taken,"April 21, 2021",Fingerprints Taken
2090009574,4-Approved,"April 21, 2021",Case Was Approved
2090021294,4-Approved,"April 21, 2021",Case Was Approved
2090047239,4-Approved,"April 21, 2021",Case Was Approved
2090047242,4-Approved,"April 21, 2021",Case Was Approved
2090047282,4-Approved,"April 21, 2021",Case Was Approved
2090047485,4-Approved,"April 21, 2021",Case Was Approved
2090055893,4-Approved,"April 21, 2021",Case Was Approved
2090069661,4-Approved,"April 21, 2021",Case Was Approved
2090069664,4-Approved,"April 21, 2021",Case Was Approved
2090069667,4-Approved,"April 21, 2021",Case Was Approved
2090069670,4-Approved,"April 21, 2021",Case Was Approved
2090071293,4-Approved,"April 21, 2021",Case Was Approved
2090009696,2a-RFE,"April 22, 2021",RFE Sent
2090014867,4-Approved,"April 22, 2021",Card Was Delivered
2090014870,4-Approved,"April 22, 2021",Card Was Delivered
2090022617,4-Approved,"April 22, 2021",Card Was Delivered
2090022620,4-Approved,"April 22, 2021",Card Was Delivered
2090041468,2a-RFE,"April 21, 2021",RFE Responded
2090041642,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090044907,2a-RFE,"April 21, 2021",RFE Sent
2090051125,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090055924,2a-RFE,"April 21, 2021",RFE Responded
2090063711,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090067847,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090067850,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090067853,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090067856,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090078869,4-Approved,"April 22, 2021",Case Was Approved
2090089959,4-Approved,"April 22, 2021",Card Was Delivered
2090089968,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090091971,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090091981,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090092925,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090095142,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090095207,4-Approved,"April 22, 2021",Card Was Mailed To Me
2090096496,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090098795,2a-RFE,"April 21, 2021",RFE Responded
2090098798,2a-RFE,"April 21, 2021",RFE Responded
2090098801,2a-RFE,"April 21, 2021",RFE Responded
2090098804,2a-RFE,"April 21, 2021",RFE Responded
2090099560,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090071002,2c-UpdateInfo,"April 22, 2021",Name Was Updated
2090071619,2a-RFE,"April 22, 2021",RFE Sent
2090090615,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090090618,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090090621,1-Fingerprint-taken,"April 22, 2021",Fingerprints Taken
2090009574,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090021294,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090022425,4-Approved,"April 23, 2021",Card Was Delivered
2090022428,4-Approved,"April 23, 2021",Card Was Delivered
2090042153,4-Approved,"April 23, 2021",Case Was Approved
2090044888,4-Approved,"April 23, 2021",Case Was Approved
2090044891,4-Approved,"April 23, 2021",Case Was Approved
2090046244,4-Approved,"April 23, 2021",Case Was Approved
2090047239,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090047242,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090047485,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090055893,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090057585,2a-RFE,"April 23, 2021",RFE Sent
2090057591,2a-RFE,"April 23, 2021",RFE Sent
2090067161,4-Approved,"April 23, 2021",Case Was Approved
2090067164,4-Approved,"April 23, 2021",Case Was Approved
2090067167,4-Approved,"April 23, 2021",Case Was Approved
2090069661,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090069664,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090069667,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090069670,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090070282,2a-RFE,"April 23, 2021",RFE Sent
2090071293,4-Approved,"April 23, 2021",Card Was Mailed To Me
2090074679,4-Approved,"April 23, 2021",Case Was Approved
2090074682,4-Approved,"April 23, 2021",Case Was Approved
2090074685,4-Approved,"April 23, 2021",Case Was Approved
2090074688,4-Approved,"April 23, 2021",Case Was Approved
2090074695,4-Approved,"April 23, 2021",Case Was Approved
2090085661,4-Approved,"April 23, 2021",Case Was Approved
2090085664,4-Approved,"April 23, 2021",Case Was Approved
2090088005,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090089873,4-Approved,"April 23, 2021",Case Was Approved
2090090897,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090100692,4-Approved,"April 23, 2021",Card Was Delivered
2090100695,4-Approved,"April 23, 2021",Card Was Delivered
2090054333,4-Approved,"April 24, 2021",Card Was Delivered
2090074034,2a-RFE,"April 23, 2021",RFE Responded
2090074037,2a-RFE,"April 23, 2021",RFE Responded
2090089785,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090089788,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090091918,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090091924,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090092907,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090092910,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090092913,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090093888,1-Fingerprint-taken,"April 23, 2021",Fingerprints Taken
2090095207,4-Approved,"April 24, 2021",Card Was Delivered
2090041642,4-Approved,"April 26, 2021",Card Was Delivered
2090051125,4-Approved,"April 26, 2021",Card Was Delivered
2090063711,4-Approved,"April 26, 2021",Card Was Delivered
2090067847,4-Approved,"April 26, 2021",Card Was Delivered
2090067850,4-Approved,"April 26, 2021",Card Was Delivered
2090067853,4-Approved,"April 26, 2021",Card Was Delivered
2090067856,4-Approved,"April 26, 2021",Card Was Delivered
2090078869,4-Approved,"April 26, 2021",Card Was Mailed To Me
2090079671,2a-RFE,"April 26, 2021",RFE Sent
2090079680,2a-RFE,"April 26, 2021",RFE Sent
2090095254,2a-RFE,"April 26, 2021",RFE Sent
2090004456,2a-RFE,"April 27, 2021",RFE Sent
2090017524,4-Approved,"April 27, 2021",Case Was Approved
2090042153,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090044888,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090044891,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090045023,0-Received,"April 27, 2021",Case Was Transferred
2090046244,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090046814,2a-RFE,"April 27, 2021",RFE Responded
2090067161,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090067164,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090067167,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090074679,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090074682,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090074685,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090074688,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090074695,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090079668,2a-RFE,"April 26, 2021",RFE Sent
2090079674,2a-RFE,"April 26, 2021",RFE Sent
2090079677,2a-RFE,"April 26, 2021",RFE Sent
2090085661,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090085664,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090089873,4-Approved,"April 27, 2021",Card Was Mailed To Me
2090099958,1-Fingerprint-taken,"April 26, 2021",Fingerprints Taken
2090100429,1-Fingerprint-taken,"April 26, 2021",Fingerprints Taken
2090100432,1-Fingerprint-taken,"April 26, 2021",Fingerprints Taken
2090101898,1-Fingerprint-taken,"April 26, 2021",Fingerprints Taken
2090103321,2a-RFE,"April 27, 2021",RFE Sent
2090105580,1-Fingerprint-taken,"April 26, 2021",Fingerprints Taken
2090039030,2a-RFE,"April 27, 2021",RFE Sent
2090039036,2a-RFE,"April 27, 2021",RFE Sent
2090071293,4-Approved,"April 27, 2021",Card Was Delivered
2090095920,1-Fingerprint-taken,"April 27, 2021",Fingerprints Taken
2090095923,1-Fingerprint-taken,"April 27, 2021",Fingerprints Taken
2090006667,2b-Expedite,"November 2, 2020",Expedite Request Denied
2090018290,2b-Expedite,"March 15, 2021",Expedite Request Denied
2090043524,4-Approved,"April 27, 2021",New Card Is Being Produced
2090046772,9-Others,"April 26, 2021",Card Was Returned To USCIS
2090046775,9-Others,"April 26, 2021",Card Was Returned To USCIS
2090057588,2a-RFE,"April 23, 2021",RFE Sent
2090062774,2b-Expedite,"March 25, 2021",Expedite Request Denied
2090080126,2b-Expedite,"March 23, 2021",Expedite Request Denied
2090087966,2b-Expedite,"April 19, 2021",Expedite Request Denied
2090090096,2b-Expedite,"April 1, 2021",Expedite Request Denied
2090094971,2b-Expedite,"May 21, 2020",Expedite Request Denied
2090095039,2b-Expedite,"December 1, 2020",Expedite Request Denied
2090095751,2b-Expedite,"November 12, 2020",Expedite Request Denied
2090097551,2b-Expedite,"March 5, 2021",Expedite Request Denied
2090099482,2b-Expedite,"April 14, 2021",Expedite Request Denied
2090100798,2b-Expedite,"April 26, 2021",Expedite Request Received
2090100800,2b-Expedite,"April 26, 2021",Expedite Request Received
2090103338,2b-Expedite,"December 15, 2020",Expedite Request Denied
2090103341,2b-Expedite,"December 15, 2020",Expedite Request Denied
2090103892,1-Fingerprint-taken,"April 19, 2021",Fingerprints Taken
2090110263,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110266,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110269,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110272,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110275,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110463,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110466,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110469,0-Received,"April 24, 2020",Case Was Received
2090110472,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110475,0-Received,"April 24, 2020",Case Was Received
2090110483,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110486,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110489,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110492,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110500,2c-UpdateInfo,"November 30, 2020",Name Was Updated
2090110504,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110507,0-Received,"May 12, 2020",Fingerprint Fee Was Received
2090110510,0-Received,"April 23, 2020",Case Was Received
2090110517,0-Received,"May 13, 2020",Fingerprint Fee Was Received
2090110521,1-Fingerprint-taken,"December 14, 2020",Fingerprints Taken
2090110524,0-Received,"May 13, 2020",Fingerprint Fee Was Received
2090110527,0-Received,"May 13, 2020",Fingerprint Fee Was Received
2090110533,0-Received,"May 13, 2020",Fingerprint Fee Was Received
2090110535,0-Received,"May 13, 2020",Fingerprint Fee Was Received
2090110601,8-Rejected,"May 13, 2020",Rejected-Improperly Filed
2090110896,2a-RFE,"March 31, 2021",RFE Sent
2090111155,8-Rejected,"May 13, 2020",Rejected-Improperly Filed
2090111542,8-Rejected,"May 14, 2020",Rejected-Improperly Filed
2090111545,8-Rejected,"May 14, 2020",Rejected-Improperly Filed
2090111547,8-Rejected,"May 14, 2020",Rejected-Improperly Filed
2090111601,8-Rejected,"May 14, 2020",Rejected-Improperly Filed
2090111810,0-Received,"May 14, 2020",Fingerprint Fee Was Received
2090111898,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090111962,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090111991,8-Rejected,"May 15, 2020",Rejected-Improperly Filed
2090112024,8-Rejected,"May 21, 2020",Rejected-Insufficient Funds
2090112027,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112029,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112088,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112104,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112107,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112262,8-Rejected,"May 15, 2020",Rejected-Improperly Filed
2090112391,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112394,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112465,2b-Expedite,"September 28, 2020",Expedite Request Denied
2090112468,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112471,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112474,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112477,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112480,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112490,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112493,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112496,4-Approved,"April 27, 2021",New Card Is Being Produced
2090112499,4-Approved,"April 27, 2021",New Card Is Being Produced
2090112502,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112503,0-Received,"May 15, 2020",Fingerprint Fee Was Received
2090112655,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112658,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112664,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112667,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112670,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112673,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090112687,0-Received,"May 16, 2020",Fingerprint Fee Was Received
2090113146,0-Received,"May 18, 2020",Fingerprint Fee Was Received
2090113149,0-Received,"May 18, 2020",Fingerprint Fee Was Received
2090113152,0-Received,"May 18, 2020",Fingerprint Fee Was Received
2090113155,0-Received,"April 24, 2020",Case Was Received
2090113191,2a-RFE,"March 29, 2021",RFE Sent
2090113197,4-Approved,"March 30, 2021",Case Was Approved
2090113202,1-Fingerprint-taken,"March 19, 2021",Fingerprints Taken
2090113205,1-Fingerprint-taken,"March 19, 2021",Fingerprints Taken
2090113215,0-Received,"May 18, 2020",Fingerprint Fee Was Received
2090113218,0-Received,"May 18, 2020",Fingerprint Fee Was Received
2090113233,0-Received,"April 28, 2020",Case Was Received
2090113236,1-Fingerprint-taken,"November 30, 2020",Fingerprints Taken
2090113435,0-Received,"May 19, 2020",Fingerprint Fee Was Received
2090113599,8-Rejected,"May 19, 2020",Rejected-Improperly Filed
2090113671,0-Received,"May 19, 2020",Fingerprint Fee Was Received
2090113674,0-Received,"May 19, 2020",Fingerprint Fee Was Received
2090113677,0-Received,"May 19, 2020",Fingerprint Fee Was Received
2090113778,8-Rejected,"May 19, 2020",Rejected-Improperly Filed
2090113781,8-Rejected,"May 19, 2020",Rejected-Improperly Filed
2090113784,8-Rejected,"May 19, 2020",Rejected-Improperly Filed
2090113957,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090113960,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090113963,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090113966,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114192,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114195,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114198,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114511,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114514,0-Received,"May 20, 2020",Fingerprint Fee Was Received
2090114601,8-Rejected,"May 20, 2020",Rejected-Improperly Filed
2090114847,0-Received,"May 21, 2020",Fingerprint Fee Was Received
2090114951,9-Others,"December 5, 2020",Document Was Mailed
2090115033,0-Received,"May 21, 2020",Fingerprint Fee Was Received
2090115165,0-Received,"May 21, 2020",Fingerprint Fee Was Received
2090115168,0-Received,"May 21, 2020",Fingerprint Fee Was Received
2090115183,8-Rejected,"May 21, 2020",Rejected-Improperly Filed
2090115184,8-Rejected,"May 21, 2020",Rejected-Improperly Filed
2090115195,8-Rejected,"May 21, 2020",Rejected-Improperly Filed
2090115198,8-Rejected,"May 21, 2020",Rejected-Improperly Filed
2090115205,2a-RFE,"January 12, 2021",RFE Responded
2090115288,0-Received,"May 22, 2020",Fingerprint Fee Was Received
2090115395,8-Rejected,"May 22, 2020",Rejected-Improperly Filed
2090115398,8-Rejected,"May 22, 2020",Rejected-Improperly Filed
2090115401,8-Rejected,"May 22, 2020",Rejected-Improperly Filed
2090115404,8-Rejected,"May 22, 2020",Rejected-Improperly Filed
2090115407,8-Rejected,"May 22, 2020",Rejected-Improperly Filed
2090115669,8-Rejected,"May 23, 2020",Rejected-Improperly Filed
2090115686,0-Received,"May 23, 2020",Fingerprint Fee Was Received
2090115689,0-Received,"May 23, 2020",Fingerprint Fee Was Received
2090115695,0-Received,"May 23, 2020",Fingerprint Fee Was Received
2090115698,0-Received,"March 27, 2020",Case Was Received
2090115824,0-Received,"August 26, 2020",Case Was Transferred
2090115830,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116350,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116353,0-Received,"May 5, 2020",Case Was Received
2090116356,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116359,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116362,0-Received,"May 6, 2020",Case Was Received
2090116453,0-Received,"May 7, 2020",Case Was Received
2090116466,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116469,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116473,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116476,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116479,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116482,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116485,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116488,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116501,0-Received,"May 26, 2020",Fingerprint Fee Was Received
2090116549,1-Fingerprint-taken,"February 17, 2021",Fingerprints Taken
2090116583,8-Rejected,"May 27, 2020",Rejected-Old Version
2090116782,8-Rejected,"May 27, 2020",Rejected-Improperly Filed
2090116919,8-Rejected,"May 27, 2020",Rejected-Improperly Filed
2090116921,8-Rejected,"May 27, 2020",Rejected-Improperly Filed
2090116923,8-Rejected,"May 27, 2020",Rejected-Improperly Filed
2090116959,2c-UpdateInfo,"October 19, 2020",Name Was Updated
2090117017,0-Received,"May 27, 2020",Fingerprint Fee Was Received
