CaseNum,Status_Short,Date,Status,Generated_at,Desc
2190000049,0-Received,2020-11-16,Case Was Transferred,20210520-135313,"On November 16, 2020, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000049, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 16, 2020, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000072,0-Received,2020-10-01,Fingerprint Fee Was Received,20210520-135313,"On October 1, 2020, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000072. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000099,0-Received,2020-10-01,Fingerprint Fee Was Received,20210520-135313,"On October 1, 2020, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000099. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000111,1-Fingerprint-taken,2021-07-21,Fingerprints Taken,20211004-080437,"As of July 21, 2021, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000111, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2190000114,1-Fingerprint-taken,2021-07-21,Fingerprints Taken,20211004-080437,"As of July 21, 2021, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000114, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2190000117,1-Fingerprint-taken,2021-07-21,Fingerprints Taken,20211004-080437,"As of July 21, 2021, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000117, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2190000437,0-Received,2020-10-01,Fingerprint Fee Was Received,20210520-135313,"On October 1, 2020, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000437. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000457,8-Rejected,2020-10-02,Rejected-Improperly Filed,20210520-135313,"On October 2, 2020, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000457, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000464,0-Received,2020-10-02,Fingerprint Fee Was Received,20210520-135313,"On October 2, 2020, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000464. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000660,0-Received,2020-10-02,Fingerprint Fee Was Received,20210520-135313,"On October 2, 2020, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000660. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2190000746,0-Received,2021-10-07,Case Was Transferred,20211007-203308,"On October 7, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2190000746, to another office for processing and sent you a transfer notice. The notice explains why we transferred your case. Please follow the instructions in the notice. If you do not receive your notice by November 6, 2021, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
